Dog breed,Column1,category,Column2,datadog score,POPULARITY IN US,"LIFETIME COST, $",Column4,INTELLIGENCE (TRAINABILITY) ranking, LONGEVITY, NO. OF GENETIC AILMENTS," average purchase price, US$"," food costs per year, US$", grooming required , suitability for children ,Column5,POPULAR RATING,Column6,size category,weight (kg),weight (lbs),shoulder height (cm),shoulder height (in),Column7,intelligence category,GENETIC DISEASES,most abandoned?
Border Collie,,herding,,3.64,45,"$20,143",,1,12.52,2,$623,$324,2,3,,45,,medium,no data,no data,51,20,,Brightest,"eye problems, deafness",
Border Terrier,,terrier,,3.61,80,"$22,638",,30,14,0,$833,$324,2,1,,80,,small,6,13.5,no data,no data,,Above average,none,
Brittany,,sporting,,3.54,30,"$22,589",,19,12.92,0,$618,$466,2,2,,30,,medium,16,35,48,19,,Excellent,none,
Cairn Terrier,,terrier,,3.53,59,"$21,992",,35,13.84,2,$435,$324,2,1,,59,,small,6,14,25,10,,Above average,"'lion jaw', heart problems  ",
Welsh Springer Spaniel,,sporting,,3.34,130,"$20,224",,31,12.49,1,$750,$324,2,1,,130,,medium,no data,no data,46,18,,Above average,hip problems,
English Cocker Spaniel,,sporting,,3.33,63,"$18,993",,18,11.66,0,$800,$324,2,1,,63,,medium,14,30,41,16,,Excellent,none,
Cocker Spaniel,,sporting,,3.3,27,"$24,330",,20,12.5,2,$465,$674,2,1,,27,,small,11,25,37,14.5,,Excellent,"eye, skin problems",
Papillon,,toy,,3.26,38,"$21,001",,8,13,5,$740,$324,2,2,,38,,small,no data,no data,24,9.5,,Brightest,"cataracts, hair loss, heart, eye, blood clotting disorders",
Australian Cattle Dog,,herding,,3.25,60,"$20,395",,10,11.67,1,$530,$466,2,3,,60,,medium,no data,no data,47,18.5,,Brightest,hip problems,
Shetland Sheepdog,,herding,,3.22,20,"$21,006",,6,12.53,5,$465,$405,1,1,,20,,small,10.15,22,37,14.5,,Brightest,"eye problems, deafness, skin + heart problems, blood clotting disorders",
Siberian Husky,,working,,3.22,16,"$22,049",,45,12.58,0,$650,$466,3,1,,16,,medium,22,47.5,55,21.75,,Average,none,
Lhasa Apso,,non-sporting,,3.21,62,"$22,031",,68,13.92,1,$350,$324,2,1,,62,,small,7,15,27,10.5,,Fair,'dry eye',
Affenpinscher,,toy,,3.2,139,"$18,333",,37,11.42,0,$510,$324,2,2,,139,,small,no data,no data,26,10.25,,Above average,none,
Dachshund,,hound,,3.19,9,"$20,113",,49,12.63,2,$423,$324,2,3,,9,,small,11,24,no data,no data,,Average,"skin, spinal problems",
Miniature Schnauzer,,terrier,,3.19,12,"$20,087",,12,11.81,2,$715,$405,2,2,,12,,small,7,15.5,33,13,,Excellent,"liver, sinus problems",
Chihuahua,,toy,,3.15,14,"$26,250",,67,16.5,1,$588,$324,2,3,,14,,small,2,5.5,13,5,,Fair,knee problems,
Australian Terrier,,terrier,,3.11,121,"$17,892",,34,11.05,0,$640,$324,2,2,,121,,small,no data,no data,27,10.5,,Above average,none,
Whippet,,hound,,3.11,57,"$20,976",,51,12.87,0,$915,$324,2,2,,57,,medium,no data,no data,51,20,,Average,none,
English Springer Spaniel,,sporting,,3.09,29,"$21,946",,13,12.54,4,$615,$466,2,1,,29,,medium,20,45,50,19.5,,Excellent,"hip, eye, skin problems; enzyme deficiency",
